지역,공원면적,공원수,구면적,공원면적비율,인구수,인당공원면적,주거환경만족도,인당공원면적비율,초미세먼지,오차
강남구,3626398.5,7,39500000.0,9.180755696202532,544085,6.665132286315557,6.4,1.0362617222440342,24.583333333333332,0.21898786650831426
강동구,1526389.3,7,24590000.0,6.207357869052461,462275,3.301907522578552,6.09,0.5133642107993694,26.333333333333332,1.4699350358839638
강북구,3714902.4,4,23600000.0,15.74111186440678,313550,11.847878807207781,6.2,1.842049455327864,24.416666666666668,0.2508970814918712
강서구,2194154.1,9,41440000.0,5.294773407335908,589536,3.7218322545188083,6.11,0.5786520261405146,25.833333333333332,0.9511894749184542
관악구,10431453.08,2,29570000.0,35.27714940818397,514555,20.272765943387977,6.71,3.1519091367890106,25.916666666666668,1.650396166601027
광진구,584002.0,2,17060000.0,3.423223915592028,361923,1.6136084194704399,6.68,0.2508758368113726,26.5,1.5794123080889193
구로구,1617657.0,4,20120000.0,8.040044731610339,435751,3.7123425993285157,6.63,0.5771766216011052,24.166666666666668,0.6590860815168895
금천구,57568.0,4,13020000.0,0.4421505376344086,249641,0.2306031461178252,6.08,0.035853033831238286,24.666666666666668,0.31515578771675123
노원구,12235699.3,3,35440000.0,34.525110891647856,529532,23.10662868344123,6.07,3.5925040653608074,26.25,1.9682817419990286
도봉구,1084218.0,6,20660000.0,5.247909002904163,329300,3.292493167324628,6.45,0.5119005135207306,22.166666666666668,2.716439841877861
동대문구,458663.7,4,14220000.0,3.225483122362869,358679,1.2787581653790716,6.43,0.1988149794881057,23.5,1.424649520980438
동작구,3706739.0999999996,7,16350000.000000002,22.6711871559633,404617,9.161105687600866,6.54,1.4243232916747899,26.333333333333332,1.8081215036252622
마포구,2685112.6999999997,5,23850000.0,11.258334171907755,383494,7.001707197505045,6.69,1.0885907207020913,26.333333333333332,1.5736880452683408
서대문구,3321476.6,4,17630000.0,18.83991264889393,323860,10.255902550484779,6.38,1.5945368799285036,23.333333333333332,1.2705773925983017
서초구,13359636.0,6,46980000.0,28.43685823754789,429995,31.069282200955826,6.65,4.83049795553962,25.583333333333332,1.1765551865345856
성동구,626838.7,5,16860000.0,3.7179045077105575,302695,2.070859115611424,6.47,0.32196690800484035,25.833333333333332,0.9187987282724492
성북구,1198327.0,3,24570000.0,4.877195767195768,449871,2.6637124864683432,5.99,0.41414081074698406,21.833333333333332,3.0573880622186103
송파구,2838992.8,7,33870000.0,8.3820277531739,676673,4.195516593687054,6.67,0.6522981186740896,23.166666666666668,1.6520613469867484
양천구,1203428.5,5,17410000.0,6.912283170591614,460048,2.6158759520745662,6.44,0.40670342355230565,26.25,1.4010816994939006
영등포구,485990.0,5,24550000.0,1.97959266802444,405982,1.1970727766255647,6.34,0.18611494023972117,28.833333333333332,3.883091753263681
용산구,247194.1,2,21870000.0,1.1302885230909923,244953,1.0091491020726426,6.16,0.15689749904317316,23.833333333333332,1.1343539553747952
은평구,2986584.1799999997,7,29710000.0,10.052454325143048,485842,6.147233421565035,6.19,0.9557413744879244,24.0,0.7844154820940332
종로구,3907680.57,12,23910000.0,16.343289711417818,159842,24.447145118304324,6.43,3.8009209143916562,22.666666666666668,1.9885276384246602
중구,5840190.8,5,9960000.0,58.63645381526105,135321,43.15805233481869,6.39,6.71,22.666666666666668,1.1197761755281732
중랑구,7078975.0,6,18500000.0,38.26472972972973,400989,17.653788507914182,6.39,2.744723509974904,22.416666666666668,1.788235410632332
